word,stem,lemma_n,lemma_v,lemma_a,lemma_r
deposit,posit,deposit,deposit,deposit,deposit
describe,scribe,describe,describe,describe,describe
desert,sert,desert,desert,desert,desert
deserve,serv,deserve,deserve,deserve,deserve
desire,sire,desire,desire,desire,desire
desk,desk,desk,desk,desk,desk
destroy,stroy,destroy,destroy,destroy,destroy
devil,devil,devil,devil,devil,devil
dew,w,dew,dew,dew,dew
diamond,diamond,diamond,diamond,diamond,diamond
did,did,did,do,did,did
didn't,didn't,didn't,didn't,didn't,didn't
die,die,die,die,die,die
died,die,died,die,died,died
dies,die,dy,die,dy,dy
difference,differ,difference,difference,difference,difference
different,differ,different,different,different,different
dig,dig,dig,dig,dig,dig
dim,dim,dim,dim,dim,dim
dime,dime,dime,dime,dime,dime
dine,dine,dine,dine,dine,dine
denuding,denud,denuding,denude,denuding,denuding
dinner,dinner,dinner,dinner,dinner,dinner
dip,dip,dip,dip,dip,dip
direct,direct,direct,direct,direct,direct
direction,direct,direction,direction,direction,direction
dirt,dirt,dirt,dirt,dirt,dirt
dirty,dirti,dirty,dirty,dirty,dirty
discover,cover,discover,discover,discover,discover
dish,h,dish,dish,dish,dish
dislike,like,dislike,dislike,dislike,dislike
dismiss,miss,dismiss,dismiss,dismiss,dismiss
ditch,ditch,ditch,ditch,ditch,ditch
dive,dive,dive,dive,dive,dive
diver,diver,diver,diver,diver,diver
divide,divid,divide,divide,divide,divide
do,do,do,do,do,do
dock,dock,dock,dock,dock,dock
doctor,doctor,doctor,doctor,doctor,doctor
does,doe,doe,do,doe,doe
doesn't,doesn't,doesn't,doesn't,doesn't,doesn't
dog,dog,dog,dog,dog,dog
doll,doll,doll,doll,doll,doll
dollar,dollar,dollar,dollar,dollar,dollar
dolly,dolli,dolly,dolly,dolly,dolly
don't,don't,don't,don't,don't,don't
done,done,done,do,done,done
donkey,donkey,donkey,donkey,donkey,donkey
door,door,door,door,door,door
doorbell,doorbel,doorbell,doorbell,doorbell,doorbell
doorknob,doorknob,doorknob,doorknob,doorknob,doorknob
doorstep,doorstep,doorstep,doorstep,doorstep,doorstep
dope,dope,dope,dope,dope,dope
dot,dot,dot,dot,dot,dot
double,doubl,double,double,double,double
dough,dough,dough,dough,dough,dough
dove,dove,dove,dive,dove,dove
down,down,down,down,down,down
downstairs,stair,downstairs,downstairs,downstairs,downstairs
downtown,town,downtown,downtown,downtown,downtown
dozen,dozen,dozen,dozen,dozen,dozen
drag,drag,drag,drag,drag,drag
drain,drain,drain,drain,drain,drain
drank,drank,drank,drink,drank,drank
draw,draw,draw,draw,draw,draw
drawer,drawer,drawer,drawer,drawer,drawer
drawing,draw,drawing,draw,drawing,drawing
dream,dream,dream,dream,dream,dream
dress,dress,dress,dress,dress,dress
dresser,dresser,dresser,dresser,dresser,dresser
dressmaker,dressmak,dressmaker,dressmaker,dressmaker,dressmaker
drew,drew,drew,draw,drew,drew
dried,dri,dried,dry,dried,dried
drift,drift,drift,drift,drift,drift
drill,drill,drill,drill,drill,drill
drink,drink,drink,drink,drink,drink
drip,drip,drip,drip,drip,drip
drive,drive,drive,drive,drive,drive
driven,driven,driven,drive,driven,driven
driver,driver,driver,driver,driver,driver
drop,drop,drop,drop,drop,drop
drove,drove,drove,drive,drove,drove
drown,drown,drown,drown,drown,drown
drowsy,drowsi,drowsy,drowsy,drowsy,drowsy
drub,drub,drub,drub,drub,drub
drum,drum,drum,drum,drum,drum
drunk,drunk,drunk,drink,drunk,drunk
dry,dri,dry,dry,dry,dry
duck,duck,duck,duck,duck,duck
due,due,due,due,due,due
dug,dug,dug,dig,dug,dug
dull,dull,dull,dull,dull,dull
dumb,dumb,dumb,dumb,dumb,dumb
dump,dump,dump,dump,dump,dump
during,dure,during,during,during,during
dust,dust,dust,dust,dust,dust
dusty,dusti,dusty,dusty,dusty,dusty
duty,duti,duty,duty,duty,duty
dwarf,dwarf,dwarf,dwarf,dwarf,dwarf
dwell,dwell,dwell,dwell,dwell,dwell
dwelt,dwelt,dwelt,dwell,dwelt,dwelt
dying,die,dying,die,dying,dying
each,each,each,each,each,each
eager,eager,eager,eager,eager,eager
eagle,eagl,eagle,eagle,eagle,eagle
ear,ear,ear,ear,ear,ear
early,earli,early,early,early,early
earn,earn,earn,earn,earn,earn
earth,earth,earth,earth,earth,earth
east,east,east,east,east,east
eastern,eastern,eastern,eastern,eastern,eastern
easy,easi,easy,easy,easy,easy
eat,eat,eat,eat,eat,eat
eaten,eaten,eaten,eat,eaten,eaten
edge,edg,edge,edge,edge,edge
egg,egg,egg,egg,egg,egg
eh,eh,eh,eh,eh,eh
eight,eight,eight,eight,eight,eight
eighteen,eighteen,eighteen,eighteen,eighteen,eighteen
eighth,eighth,eighth,eighth,eighth,eighth
eighty,eighti,eighty,eighty,eighty,eighty
either,either,either,either,either,either
elbow,elbow,elbow,elbow,elbow,elbow
elder,elder,elder,elder,elder,elder
eldest,eldest,eldest,eldest,eldest,eldest
electric,electr,electric,electric,electric,electric
electricity,electr,electricity,electricity,electricity,electricity
elephant,eleph,elephant,elephant,elephant,elephant
eleven,eleven,eleven,eleven,eleven,eleven
elf,elf,elf,elf,elf,elf
elm,elm,elm,elm,elm,elm
else,els,else,else,else,else
elsewhere,elsewher,elsewhere,elsewhere,elsewhere,elsewhere
empty,empti,empty,empty,empty,empty
end,d,end,end,end,end
ending,ding,ending,end,ending,ending
enemy,enemi,enemy,enemy,enemy,enemy
engine,engin,engine,engine,engine,engine
engineer,engin,engineer,engineer,engineer,engineer
english,english,english,english,english,english
enjoy,joy,enjoy,enjoy,enjoy,enjoy
enough,ough,enough,enough,enough,enough
enter,enter,enter,enter,enter,enter
envelope,envelop,envelope,envelope,envelope,envelope
equal,equal,equal,equal,equal,equal
erase,eras,erase,erase,erase,erase
eraser,eras,eraser,eraser,eraser,eraser
errand,errand,errand,errand,errand,errand
escape,escap,escape,escape,escape,escape
eve,eve,eve,eve,eve,eve
even,even,even,even,even,even
evening,even,evening,even,evening,evening
ever,ever,ever,ever,ever,ever
every,everi,every,every,every,every
everybody,everybodi,everybody,everybody,everybody,everybody
everyday,everyday,everyday,everyday,everyday,everyday
everyone,everyon,everyone,everyone,everyone,everyone
everything,everyth,everything,everything,everything,everything
everywhere,everywher,everywhere,everywhere,everywhere,everywhere
evil,evil,evil,evil,evil,evil
exact,act,exact,exact,exact,exact
except,except,except,except,except,except
exchange,chang,exchange,exchange,exchange,exchange
excited,excit,excited,excite,excited,excited
exciting,excit,exciting,excite,exciting,exciting
excuse,excus,excuse,excuse,excuse,excuse
exit,it,exit,exit,exit,exit
expect,expect,expect,expect,expect,expect
explain,plain,explain,explain,explain,explain
extra,extra,extra,extra,extra,extra
eye,eye,eye,eye,eye,eye
eyebrow,eyebrow,eyebrow,eyebrow,eyebrow,eyebrow
fable,fabl,fable,fable,fable,fable
face,face,face,face,face,face
facing,face,facing,face,facing,facing
fact,fact,fact,fact,fact,fact
factory,factori,factory,factory,factory,factory
fail,fail,fail,fail,fail,fail
faint,faint,faint,faint,faint,faint
fair,fair,fair,fair,fair,fair
fairy,fairi,fairy,fairy,fairy,fairy
faith,faith,faith,faith,faith,faith
fake,fake,fake,fake,fake,fake
fall,fall,fall,fall,fall,fall
false,fals,false,false,false,false
family,famili,family,family,family,family
fan,fan,fan,fan,fan,fan
fancy,fanci,fancy,fancy,fancy,fancy
far,far,far,far,far,far
falloff,falloff,falloff,falloff,falloff,falloff
faraway,faraway,faraway,faraway,faraway,faraway
fare,fare,fare,fare,fare,fare
farm,farm,farm,farm,farm,farm
farmer,farmer,farmer,farmer,farmer,farmer
farming,farm,farming,farm,farming,farming
farther,farther,farther,farther,farther,farther
fashion,fashion,fashion,fashion,fashion,fashion
fast,fast,fast,fast,fast,fast
fasten,fasten,fasten,fasten,fasten,fasten
fat,fat,fat,fat,fat,fat
father,father,father,father,father,father
fault,fault,fault,fault,fault,fault
favor,favor,favor,favor,favor,favor
favorite,favorit,favorite,favorite,favorite,favorite
fear,fear,fear,fear,fear,fear
feast,feast,feast,feast,feast,feast
feather,feather,feather,feather,feather,feather
february,februari,february,february,february,february
fed,fed,fed,feed,fed,fed
feed,feed,feed,fee,feed,feed
feel,feel,feel,feel,feel,feel
feet,feet,foot,feet,foot,foot
fell,fell,fell,fell,fell,fell
fellow,fellow,fellow,fellow,fellow,fellow
felt,felt,felt,felt,felt,felt
fence,fenc,fence,fence,fence,fence
fever,fever,fever,fever,fever,fever
few,few,few,few,few,few
fib,fib,fib,fib,fib,fib
fiddle,fiddl,fiddle,fiddle,fiddle,fiddle
field,field,field,field,field,field
fife,fife,fife,fife,fife,fife
fifteen,fifteen,fifteen,fifteen,fifteen,fifteen
fifth,fifth,fifth,fifth,fifth,fifth
fifty,fifti,fifty,fifty,fifty,fifty
fig,fig,fig,fig,fig,fig
fight,fight,fight,fight,fight,fight
figure,figur,figure,figure,figure,figure
file,file,file,file,file,file
fill,fill,fill,fill,fill,fill
film,film,film,film,film,film
finally,final,finally,finally,finally,finally
find,find,find,find,find,find
fine,fine,fine,fine,fine,fine
finger,finger,finger,finger,finger,finger
finish,finish,finish,finish,finish,finish
fire,fire,fire,fire,fire,fire
firearm,firearm,firearm,firearm,firearm,firearm
firecracker,firecrack,firecracker,firecracker,firecracker,firecracker
fireplace,fireplac,fireplace,fireplace,fireplace,fireplace
fireworks,firework,firework,fireworks,firework,firework
firing,fire,firing,fire,firing,firing
first,first,first,first,first,first
fish,fish,fish,fish,fish,fish
fisherman,fisherman,fisherman,fisherman,fisherman,fisherman
fist,fist,fist,fist,fist,fist
fit,fit,fit,fit,fit,fit
fits,fit,fit,fit,fit,fit
five,five,five,five,five,five
fix,fix,fix,fix,fix,fix
flag,flag,flag,flag,flag,flag
flake,flake,flake,flake,flake,flake
flame,flame,flame,flame,flame,flame
flap,flap,flap,flap,flap,flap
flash,flash,flash,flash,flash,flash
flashlight,flashlight,flashlight,flashlight,flashlight,flashlight
flat,flat,flat,flat,flat,flat
flea,flea,flea,flea,flea,flea
flesh,flesh,flesh,flesh,flesh,flesh
flew,flew,flew,fly,flew,flew
flies,fli,fly,fly,fly,fly
flight,flight,flight,flight,flight,flight
flip,flip,flip,flip,flip,flip
flimflam,flimflam,flimflam,flimflam,flimflam,flimflam
float,float,float,float,float,float
flock,flock,flock,flock,flock,flock
flood,flood,flood,flood,flood,flood
floor,floor,floor,floor,floor,floor
flop,flop,flop,flop,flop,flop
flour,flour,flour,flour,flour,flour
flow,flow,flow,flow,flow,flow
flower,flower,flower,flower,flower,flower
flowery,floweri,flowery,flowery,flowery,flowery
flutter,flutter,flutter,flutter,flutter,flutter
fly,fli,fly,fly,fly,fly
foam,foam,foam,foam,foam,foam
fog,fog,fog,fog,fog,fog
foggy,foggi,foggy,foggy,foggy,foggy
fold,fold,fold,fold,fold,fold
folks,folk,folk,folks,folk,folk
follow,follow,follow,follow,follow,follow
following,follow,following,follow,following,following
fond,fond,fond,fond,fond,fond
food,food,food,food,food,food
fool,fool,fool,fool,fool,fool
foolish,foolish,foolish,foolish,foolish,foolish
foot,foot,foot,foot,foot,foot
football,footbal,football,football,football,football
footprint,footprint,footprint,footprint,footprint,footprint
for,for,for,for,for,for
forehead,head,forehead,forehead,forehead,forehead
forest,st,forest,forest,forest,forest
forget,forget,forget,forget,forget,forget
forgive,forgiv,forgive,forgive,forgive,forgive
forgot,forgot,forgot,forget,forgot,forgot
forgotten,forgotten,forgotten,forget,forgotten,forgotten
fork,fork,fork,fork,fork,fork
form,form,form,form,form,form
fort,fort,fort,fort,fort,fort
forth,forth,forth,forth,forth,forth
fortune,fortun,fortune,fortune,fortune,fortune
forty,forti,forty,forty,forty,forty
forward,forward,forward,forward,forward,forward
fought,fought,fought,fight,fought,fought
found,found,found,find,found,found
fountain,fountain,fountain,fountain,fountain,fountain
four,four,four,four,four,four
fourteen,fourteen,fourteen,fourteen,fourteen,fourteen
fourth,fourth,fourth,fourth,fourth,fourth
fox,fox,fox,fox,fox,fox
frame,frame,frame,frame,frame,frame
free,free,free,free,free,free
freedom,freedom,freedom,freedom,freedom,freedom
freeze,freez,freeze,freeze,freeze,freeze
freight,freight,freight,freight,freight,freight
french,french,french,french,french,french
fresh,fresh,fresh,fresh,fresh,fresh
fret,fret,fret,fret,fret,fret
friday,friday,friday,friday,friday,friday
fried,fri,fried,fry,fried,fried
friend,friend,friend,friend,friend,friend
friendly,friendli,friendly,friendly,friendly,friendly
friendship,friendship,friendship,friendship,friendship,friendship
frighten,frighten,frighten,frighten,frighten,frighten
frog,frog,frog,frog,frog,frog
from,from,from,from,from,from
front,front,front,front,front,front
frost,frost,frost,frost,frost,frost
frown,frown,frown,frown,frown,frown
froze,froze,froze,freeze,froze,froze
fruit,fruit,fruit,fruit,fruit,fruit
fry,fri,fry,fry,fry,fry
fudge,fudg,fudge,fudge,fudge,fudge
fuel,fuel,fuel,fuel,fuel,fuel
full,full,full,full,full,full
fully,fulli,fully,fully,fully,fully
fun,fun,fun,fun,fun,fun
funny,funni,funny,funny,funny,funny
fur,fur,fur,fur,fur,fur
furniture,furnitur,furniture,furniture,furniture,furniture
further,further,further,further,further,further
fuzzy,fuzzi,fuzzy,fuzzy,fuzzy,fuzzy
gain,gain,gain,gain,gain,gain
gallon,gallon,gallon,gallon,gallon,gallon
gallop,gallop,gallop,gallop,gallop,gallop
game,game,game,game,game,game
gang,gang,gang,gang,gang,gang
garage,garag,garage,garage,garage,garage
garbage,garbag,garbage,garbage,garbage,garbage
garden,garden,garden,garden,garden,garden
gas,ga,gas,gas,gas,gas
gasoline,gasolin,gasoline,gasoline,gasoline,gasoline
gate,gate,gate,gate,gate,gate
gather,gather,gather,gather,gather,gather
gave,gave,gave,give,gave,gave
gay,gay,gay,gay,gay,gay
gear,gear,gear,gear,gear,gear
geese,gees,goose,geese,goose,goose
general,gener,general,general,general,general
gentle,gentl,gentle,gentle,gentle,gentle
gentleman,gentleman,gentleman,gentleman,gentleman,gentleman
gentlemen,gentlemen,gentleman,gentlemen,gentleman,gentleman
geography,geographi,geography,geography,geography,geography
get,get,get,get,get,get
getting,get,getting,get,getting,getting
giant,giant,giant,giant,giant,giant
gift,gift,gift,gift,gift,gift
gingerbread,gingerbread,gingerbread,gingerbread,gingerbread,gingerbread
girl,girl,girl,girl,girl,girl
give,give,give,give,give,give
given,given,given,give,given,given
giving,give,giving,give,giving,giving
glad,glad,glad,glad,glad,glad
gladly,gladli,gladly,gladly,gladly,gladly
glance,glanc,glance,glance,glance,glance
glass,glass,glass,glass,glass,glass
glasses,glass,glass,glass,glass,glass
gleam,gleam,gleam,gleam,gleam,gleam
glide,glide,glide,glide,glide,glide
glory,glori,glory,glory,glory,glory
glove,glove,glove,glove,glove,glove
glow,glow,glow,glow,glow,glow
glue,glue,glue,glue,glue,glue
go,go,go,go,go,go
goal,goal,goal,goal,goal,goal
goat,goat,goat,goat,goat,goat
gobble,gobbl,gobble,gobble,gobble,gobble
god,god,god,god,god,god
god,god,god,god,god,god
godmother,godmoth,godmother,godmother,godmother,godmother
goes,goe,go,go,go,go
going,go,going,go,going,going
gold,gold,gold,gold,gold,gold
golden,golden,golden,golden,golden,golden
goldfish,goldfish,goldfish,goldfish,goldfish,goldfish
golf,golf,golf,golf,golf,golf
gone,gone,gone,go,gone,gone
good,good,good,good,good,good
goodbye,goodby,goodbye,goodbye,goodbye,goodbye
goodbye,goodby,goodbye,goodbye,goodbye,goodbye
padlocking,padlock,padlocking,padlock,padlocking,padlocking
goodbye,goodby,goodbye,goodbye,goodbye,goodbye
goodbye,goodby,goodbye,goodbye,goodbye,goodbye
goodness,good,goodness,goodness,goodness,goodness
goods,good,good,goods,good,good
goody,goodi,goody,goody,goody,goody
goose,goos,goose,goose,goose,goose
gooseberry,gooseberri,gooseberry,gooseberry,gooseberry,gooseberry
got,got,got,get,got,got
govern,govern,govern,govern,govern,govern
government,govern,government,government,government,government
gown,gown,gown,gown,gown,gown
grab,grab,grab,grab,grab,grab
gracious,graciou,gracious,gracious,gracious,gracious
grade,grade,grade,grade,grade,grade
grain,grain,grain,grain,grain,grain
grand,grand,grand,grand,grand,grand
grandchild,grandchild,grandchild,grandchild,grandchild,grandchild
grandchildren,grandchildren,grandchild,grandchildren,grandchild,grandchild
granddaughter,granddaught,granddaughter,granddaughter,granddaughter,granddaughter
grandfather,grandfath,grandfather,grandfather,grandfather,grandfather
grandma,grandma,grandma,grandma,grandma,grandma
grandmother,grandmoth,grandmother,grandmother,grandmother,grandmother
grandpa,grandpa,grandpa,grandpa,grandpa,grandpa
grandson,grandson,grandson,grandson,grandson,grandson
grandstand,grandstand,grandstand,grandstand,grandstand,grandstand
grape,grape,grape,grape,grape,grape
grapefruit,grapefruit,grapefruit,grapefruit,grapefruit,grapefruit
grapes,grape,grape,grapes,grape,grape
grass,grass,grass,grass,grass,grass
grasshopper,grasshopp,grasshopper,grasshopper,grasshopper,grasshopper
grateful,grate,grateful,grateful,grateful,grateful
grave,grave,grave,grave,grave,grave
gravel,gravel,gravel,gravel,gravel,gravel
graveyard,graveyard,graveyard,graveyard,graveyard,graveyard
gravy,gravi,gravy,gravy,gravy,gravy
gray,gray,gray,gray,gray,gray
graze,graze,graze,graze,graze,graze
grease,greas,grease,grease,grease,grease
great,great,great,great,great,great
green,green,green,green,green,green
greet,greet,greet,greet,greet,greet
grew,grew,grew,grow,grew,grew
grind,grind,grind,grind,grind,grind
groan,groan,groan,groan,groan,groan
grocery,groceri,grocery,grocery,grocery,grocery
ground,ground,ground,grind,ground,ground
group,group,group,group,group,group
grove,grove,grove,grove,grove,grove
grow,grow,grow,grow,grow,grow
guard,guard,guard,guard,guard,guard
guess,guess,guess,guess,guess,guess
guest,guest,guest,guest,guest,guest
guide,guid,guide,guide,guide,guide
gulf,gulf,gulf,gulf,gulf,gulf
gum,gum,gum,gum,gum,gum
gun,gun,gun,gun,gun,gun
gunpowder,gunpowd,gunpowder,gunpowder,gunpowder,gunpowder
guy,guy,guy,guy,guy,guy
ha,ha,ha,ha,ha,ha
habit,habit,habit,habit,habit,habit
had,had,had,have,had,had
hadn't,hadn't,hadn't,hadn't,hadn't,hadn't
hail,hail,hail,hail,hail,hail
hair,hair,hair,hair,hair,hair
haircut,haircut,haircut,haircut,haircut,haircut
hairpin,hairpin,hairpin,hairpin,hairpin,hairpin
half,half,half,half,half,half
hall,hall,hall,hall,hall,hall
halt,halt,halt,halt,halt,halt
ham,ham,ham,ham,ham,ham
hammer,hammer,hammer,hammer,hammer,hammer
hand,hand,hand,hand,hand,hand
handful,hand,handful,handful,handful,handful
handkerchief,handkerchief,handkerchief,handkerchief,handkerchief,handkerchief
handle,handl,handle,handle,handle,handle
handwriting,handwrit,handwriting,handwrite,handwriting,handwriting
hang,hang,hang,hang,hang,hang
happen,happen,happen,happen,happen,happen
happily,happili,happily,happily,happily,happily
happiness,happi,happiness,happiness,happiness,happiness
happy,happi,happy,happy,happy,happy
harbor,harbor,harbor,harbor,harbor,harbor
hard,hard,hard,hard,hard,hard
hardly,hardli,hardly,hardly,hardly,hardly
hardship,hardship,hardship,hardship,hardship,hardship
hardware,hardwar,hardware,hardware,hardware,hardware
hare,hare,hare,hare,hare,hare
hark,hark,hark,hark,hark,hark
harm,harm,harm,harm,harm,harm
harness,har,harness,harness,harness,harness
harp,harp,harp,harp,harp,harp
harvest,harvest,harvest,harvest,harvest,harvest
has,ha,ha,have,ha,ha
hasn't,hasn't,hasn't,hasn't,hasn't,hasn't
haste,hast,haste,haste,haste,haste
hasten,hasten,hasten,hasten,hasten,hasten
hasty,hasti,hasty,hasty,hasty,hasty
hat,hat,hat,hat,hat,hat
hatch,hatch,hatch,hatch,hatch,hatch
hatchet,hatchet,hatchet,hatchet,hatchet,hatchet
hate,hate,hate,hate,hate,hate
haul,haul,haul,haul,haul,haul
have,have,have,have,have,have
haven't,haven't,haven't,haven't,haven't,haven't
having,have,having,have,having,having
hawk,hawk,hawk,hawk,hawk,hawk
hay,hay,hay,hay,hay,hay
hatfield,hatfield,hatfield,hatfield,hatfield,hatfield
haystack,haystack,haystack,haystack,haystack,haystack
he,he,he,he,he,he
he'd,he'd,he'd,he'd,he'd,he'd
he'll,he'll,he'll,he'll,he'll,he'll
he's,he',he's,he's,he's,he's
head,head,head,head,head,head
headache,headach,headache,headache,headache,headache
heal,heal,heal,heal,heal,heal
health,health,health,health,health,health
healthy,healthi,healthy,healthy,healthy,healthy
heap,heap,heap,heap,heap,heap
hear,hear,hear,hear,hear,hear
heard,heard,heard,hear,heard,heard
hearing,hear,hearing,hear,hearing,hearing
heart,heart,heart,heart,heart,heart
heat,heat,heat,heat,heat,heat
heater,heater,heater,heater,heater,heater
heaven,heaven,heaven,heaven,heaven,heaven
heavy,heavi,heavy,heavy,heavy,heavy
heel,heel,heel,heel,heel,heel
height,height,height,height,height,height
held,held,held,hold,held,held
hell,hell,hell,hell,hell,hell
hello,hello,hello,hello,hello,hello
helmet,helmet,helmet,helmet,helmet,helmet
help,help,help,help,help,help
helper,helper,helper,helper,helper,helper
helpful,help,helpful,helpful,helpful,helpful
hem,hem,hem,hem,hem,hem
hen,hen,hen,hen,hen,hen
hen house,hen hous,hen house,hen house,hen house,hen house
her,her,her,her,her,her
herd,herd,herd,herd,herd,herd
here,here,here,here,here,here
here's,here',here's,here's,here's,here's
hero,hero,hero,hero,hero,hero
hers,her,hers,hers,hers,hers
herself,herself,herself,herself,herself,herself
hey,hey,hey,hey,hey,hey
hickory,hickori,hickory,hickory,hickory,hickory
hid,hid,hid,hide,hid,hid
hidden,hidden,hidden,hide,hidden,hidden
hide,hide,hide,hide,hide,hide
high,high,high,high,high,high
highway,highway,highway,highway,highway,highway
hill,hill,hill,hill,hill,hill
hillside,hillsid,hillside,hillside,hillside,hillside
hilltop,hilltop,hilltop,hilltop,hilltop,hilltop
hilly,hilli,hilly,hilly,hilly,hilly
him,him,him,him,him,him
himself,himself,himself,himself,himself,himself
hind,hind,hind,hind,hind,hind
hint,hint,hint,hint,hint,hint
hip,hip,hip,hip,hip,hip
hire,hire,hire,hire,hire,hire
his,hi,his,his,his,his
hiss,hiss,hiss,hiss,hiss,hiss
history,histori,history,history,history,history
hit,hit,hit,hit,hit,hit
hitch,hitch,hitch,hitch,hitch,hitch
hive,hive,hive,hive,hive,hive
ho,ho,ho,ho,ho,ho
hoe,hoe,hoe,hoe,hoe,hoe
hog,hog,hog,hog,hog,hog
hold,hold,hold,hold,hold,hold
holder,holder,holder,holder,holder,holder
hole,hole,hole,hole,hole,hole
holiday,holiday,holiday,holiday,holiday,holiday
hollow,hollow,hollow,hollow,hollow,hollow
holy,holi,holy,holy,holy,holy
home,home,home,home,home,home
homely,home,homely,homely,homely,homely
homesick,homesick,homesick,homesick,homesick,homesick
honest,honest,honest,honest,honest,honest
honey,honey,honey,honey,honey,honey
honeybee,honeybe,honeybee,honeybee,honeybee,honeybee
honeymoon,honeymoon,honeymoon,honeymoon,honeymoon,honeymoon
honk,honk,honk,honk,honk,honk
honor,honor,honor,honor,honor,honor
hood,hood,hood,hood,hood,hood
hoof,hoof,hoof,hoof,hoof,hoof
hook,hook,hook,hook,hook,hook
hoop,hoop,hoop,hoop,hoop,hoop
hop,hop,hop,hop,hop,hop
hope,hope,hope,hope,hope,hope
hopeful,hope,hopeful,hopeful,hopeful,hopeful
hopeless,hopeless,hopeless,hopeless,hopeless,hopeless
horn,horn,horn,horn,horn,horn
horse,hors,horse,horse,horse,horse
horseback,horseback,horseback,horseback,horseback,horseback
horseshoe,horsesho,horseshoe,horseshoe,horseshoe,horseshoe
hose,hose,hose,hose,hose,hose
hospital,hospit,hospital,hospital,hospital,hospital
host,host,host,host,host,host
hot,hot,hot,hot,hot,hot
hotel,hotel,hotel,hotel,hotel,hotel
hound,hound,hound,hound,hound,hound
hour,hour,hour,hour,hour,hour
house,hous,house,house,house,house
housetop,housetop,housetop,housetop,housetop,housetop
housewife,housewif,housewife,housewife,housewife,housewife
housework,housework,housework,housework,housework,housework
how,how,how,how,how,how
however,howev,however,however,however,however
howl,howl,howl,howl,howl,howl
hug,hug,hug,hug,hug,hug
huge,huge,huge,huge,huge,huge
hum,hum,hum,hum,hum,hum
humble,humbl,humble,humble,humble,humble
hump,hump,hump,hump,hump,hump
hundred,hundr,hundred,hundred,hundred,hundred
hung,hung,hung,hang,hung,hung
hunger,hunger,hunger,hunger,hunger,hunger
hungry,hungri,hungry,hungry,hungry,hungry
hunk,hunk,hunk,hunk,hunk,hunk
hunt,hunt,hunt,hunt,hunt,hunt
hunter,hunter,hunter,hunter,hunter,hunter
hurrah,hurrah,hurrah,hurrah,hurrah,hurrah
hurried,hurri,hurried,hurry,hurried,hurried
hurry,hurri,hurry,hurry,hurry,hurry
hurt,hurt,hurt,hurt,hurt,hurt
husband,husband,husband,husband,husband,husband
hush,hush,hush,hush,hush,hush
hut,hut,hut,hut,hut,hut
hymn,hymn,hymn,hymn,hymn,hymn
i,i,i,i,i,i
i'd,i'd,i'd,i'd,i'd,i'd
i'll,i'll,i'll,i'll,i'll,i'll
i'm,i'm,i'm,i'm,i'm,i'm
i've,i'v,i've,i've,i've,i've
ice,ice,ice,ice,ice,ice
icy,ici,icy,icy,icy,icy
idea,idea,idea,idea,idea,idea
ideal,ideal,ideal,ideal,ideal,ideal
if,if,if,if,if,if
ill,l,ill,ill,ill,ill
important,import,important,important,important,important
impossible,possibl,impossible,impossible,impossible,impossible
improve,prove,improve,improve,improve,improve
in,in,in,in,in,in
inch,inch,inch,inch,inch,inch
inches,inch,inch,inch,inch,inch
income,come,income,income,income,income
indeed,deed,indeed,indeed,indeed,indeed
indian,dian,indian,indian,indian,indian
indoors,indoor,indoors,indoors,indoors,indoors
ink,k,ink,ink,ink,ink
inn,n,inn,inn,inn,inn
insect,sect,insect,insect,insect,insect
inside,side,inside,inside,inside,inside
instant,instant,instant,instant,instant,instant
instead,stead,instead,instead,instead,instead
insult,insult,insult,insult,insult,insult
intend,tend,intend,intend,intend,intend
interested,interest,interested,interest,interested,interested
interesting,interest,interesting,interest,interesting,interesting
into,to,into,into,into,into
invite,invit,invite,invite,invite,invite
iron,on,iron,iron,iron,iron
is,is,is,be,is,is
island,island,island,island,island,island
isn't,isn't,isn't,isn't,isn't,isn't
it,it,it,it,it,it
it's,it',it's,it's,it's,it's
its,it,it,its,it,it
itself,itself,itself,itself,itself,itself
ivory,ivori,ivory,ivory,ivory,ivory
ivy,ivi,ivy,ivy,ivy,ivy
jacket,jacket,jacket,jacket,jacket,jacket
jacks,jack,jack,jack,jack,jack
jail,jail,jail,jail,jail,jail
jam,jam,jam,jam,jam,jam
january,januari,january,january,january,january
jar,jar,jar,jar,jar,jar
jaw,jaw,jaw,jaw,jaw,jaw
jay,jay,jay,jay,jay,jay
jelly,jelli,jelly,jelly,jelly,jelly
jellyfish,jellyfish,jellyfish,jellyfish,jellyfish,jellyfish
jerk,jerk,jerk,jerk,jerk,jerk
jig,jig,jig,jig,jig,jig
job,job,job,job,job,job
jockey,jockey,jockey,jockey,jockey,jockey
join,join,join,join,join,join
joke,joke,joke,joke,joke,joke
joking,joke,joking,joke,joking,joking
jolly,jolli,jolly,jolly,jolly,jolly
journey,journey,journey,journey,journey,journey
joy,joy,joy,joy,joy,joy
joyful,joy,joyful,joyful,joyful,joyful
joyous,joyou,joyous,joyous,joyous,joyous
judge,judg,judge,judge,judge,judge
jug,jug,jug,jug,jug,jug
juice,juic,juice,juice,juice,juice
juicy,juici,juicy,juicy,juicy,juicy
july,juli,july,july,july,july
jump,jump,jump,jump,jump,jump
june,june,june,june,june,june
junior,junior,junior,junior,junior,junior
junk,junk,junk,junk,junk,junk
just,just,just,just,just,just
keen,keen,keen,keen,keen,keen
keep,keep,keep,keep,keep,keep
